"","","","9D","","POPFD","","","","","Pop Stack into eFLAGS Register"
"","","","9E","","SAHF","","","","","Store AH into Flags"
"","","","9F","","LAHF","","","","","Load Status Flags into AH Register"
"","","","A0","","MOV","AL","","Ob","","Move"
"","","","A1","","MOV","rAX","","Ovqp","","Move"
"","","","A2","","MOV","Ob","","AL","","Move"
"","","","A3","","MOV","Ovqp","","rAX","","Move"
"","","","A4","","MOVS","(ES:)[rDI]","","(DS:)[rSI]","","Move Data from String to String"
"","","","A5","","MOVS","ES:[DI]","","DS:[SI]","","Move Data from String to String"
"","","","A5","","MOVS","(ES:)[rDI]","","(DS:)[rSI]","","Move Data from String to String"
"","","","A6","","CMPS","","","(ES:)[rDI]","(DS:)[rSI]","Compare String Operands"
"","","","A7","","CMPS","","","ES:[DI]","DS:[SI]","Compare String Operands"
"","","","A7","","CMPS","","","(ES:)[rDI]","(DS:)[rSI]","Compare String Operands"
"","","","A8","","TEST","","","AL","Ib","Logical Compare"
"","","","A9","","TEST","","","rAX","Ivds","Logical Compare"
"","","","AA","","STOS","(ES:)[rDI]","","","","Store String"
"","","","AB","","STOS","ES:[DI]","","","","Store String"
"","","","AB","","STOS","(ES:)[rDI]","","","","Store String"
"","","","AC","","LODS","","","(DS:)[rSI]","","Load String"
"","","","AD","","LODS","","","DS:[SI]","","Load String"
"","","","AD","","LODS","","","(DS:)[rSI]","","Load String"
"","","","AE","","SCAS","","","(ES:)[rDI]","","Scan String"
"","","","AF","","SCAS","","","ES:[DI]","","Scan String"
"","","","AF","","SCAS","","","(ES:)[rDI]","","Scan String"
"","","","B0","","MOV","Zb","","Ib","","Move"
"","","","B8","","MOV","Zvqp","","Ivqp","","Move"
"","","","C0","","ROL","Eb","","Ib","","Rotate"
"","","","C0","","ROR","Eb","","Ib","","Rotate"
"","","","C0","","RCL","Eb","","Ib","","Rotate"
"","","","C0","","RCR","Eb","","Ib","","Rotate"
"","","","C0","","SHL","Eb","","Ib","","Shift"
"","","","C0","","SHR","Eb","","Ib","","Shift"
"","","","C0","","SAL","Eb","","Ib","","Shift"
"","","","C0","","SAR","Eb","","Ib","","Shift"
"","","","C1","","ROL","Evqp","","Ib","","Rotate"
"","","","C1","","ROR","Evqp","","Ib","","Rotate"
"","","","C1","","RCL","Evqp","","Ib","","Rotate"
"","","","C1","","RCR","Evqp","","Ib","","Rotate"
"","","","C1","","SHL","Evqp","","Ib","","Shift"
"","","","C1","","SHR","Evqp","","Ib","","Shift"
"","","","C1","","SAL","Evqp","","Ib","","Shift"
"","","","C1","","SAR","Evqp","","Ib","","Shift"
"","","","C2","","RETN","","","","Iw","Return from procedure"
"","","","C3","","RETN","","","","","Return from procedure"
"","","","C4","","LES","","Gv","Mp","","Load Far Pointer"
"","","","C5","","LDS","","Gv","Mp","","Load Far Pointer"
"","","","C6","","MOV","Eb","","Ib","","Move"
"","","","C7","","MOV","Evqp","","Ivds","","Move"
"","","","C8","","ENTER","","","Iw","Ib","Make Stack Frame for Procedure Parameters"
"","","","C9","","LEAVE","","","","","High Level Procedure Exit"
"","","","CA","","RETF","","","Iw","","Return from procedure"
"","","","CB","","RETF","","","","","Return from procedure"
"","","","CC","","INT","","","3","","Call to Interrupt Procedure"
"","","","CD","","INT","","","Ib","","Call to Interrupt Procedure"
